PWN,ILI,POS,Tree File,Gap,DeepL Direct,DeepL Contextualized,Translated Wordnet,Lemmas,Translated Wordnet Gloss,Gloss,Hypernyms,Hyponyms
omw-en31-08409094-n,i81212,n,omw-en31-07967506-n,terrorist organization,терористична організація,терористична організація,ЗВТ,"terrorist organization, terrorist group, foreign terrorist organization, FTO","політичний рух, який використовує терор як зброю для досягнення своїх цілей",a political movement that uses terror as a weapon to achieve its goals,political movement,"Abu Hafs al-Masri Brigades; Abu Sayyaf, Bearer of the Sword; Aksa Martyrs Brigades, al-Aksa Martyrs Brigades, Martyrs of al-Aqsa; Alex Boncayao Brigade, ABB, Revolutionary Proletarian Army, RPA-ABB; al-Fatah, Fatah, al-Asifa; al-Gama'a al-Islamiyya, Islamic Group; al Itihaad al Islamiya, al-Itihaad al-Islamiya, Islamic Unity, AIAI; al-Jihad, Egyptian Islamic Jihad, Islamic Jihad, Vanguards of Conquest; al-Ma'unah; al-Muhajiroun; Al Nathir; al-Qaeda, Qaeda, al-Qa'ida, al-Qaida, al Qaeda, al Qaida, Base; al-Rashid Trust; al Sunna Wal Jamma, Followers of the Prophet; al-Tawhid, Al Tawhid, Divine Unity; al-Ummah; Ansar al Islam, Ansar al-Islam, Supporters of Islam; Armata Corsa, Corsican Army; Armed Islamic Group, GIA; Armenian Secret Army for the Liberation of Armenia, ASALA, Orly Group, 3rd October Organization; Army for the Liberation of Rwanda, ALIR, Former Armed Forces, FAR, Interahamwe; Asbat al-Ansar, Band of Partisans; Aum Shinrikyo, Aum, Supreme Truth; Baader Meinhof Gang, Baader-Meinhof Gang; Basque Homeland and Freedom, Basque Fatherland and Liberty, Euskadi ta Askatasuna, ETA; Black September Movement; Chukaku-Ha; Continuity Irish Republican Army, CIRA, Continuity Army Council; Democratic Front for the Liberation of Palestine, DFLP, Popular Democratic Front for the Liberation of Palestine, PDFLP; East Turkistan Islamic Movement, East Turkestan Islamic Movement; Fatah Revolutionary Council, Fatah-RC, Abu Nidal Organization, ANO, Arab Revolutionary Brigades, Black September, Revolutionary Organization of Socialist Muslims; Fatah Tanzim, Tanzim; First of October Antifascist Resistance Group, GRAPO; Force 17; Forces of Umar Al-Mukhtar, Umar al-Mukhtar Forces; Hamas, Islamic Resistance Movement; Harkat-ul-Jihad-e-Islami, Harakat ul-Jihad-I-Islami, HUJI; Harkat-ul-Mujahidin, HUM, Harkat ul-Ansar, HUA, Harkat ul-Mujahedeen, Al Faran, Movement of Holy Warriors; Hizballah, Hezbollah, Hizbollah, Hizbullah, Lebanese Hizballah, Party of God, Islamic Jihad, Islamic Jihad for the Liberation of Palestine, Revolutionary Justice Organization, Organization of the Oppressed on Earth; Hizb ut-Tahrir, Freedom Party; International Islamic Front for Jihad against Jews and Crusaders; Irish National Liberation Army, INLA, People's Liberation Army, People's Republican Army, Catholic Reaction Force; Irish Republican Army, IRA, Provisional Irish Republican Army, Provisional IRA, Provos; Islamic Army of Aden, IAA, Islamic Army of Aden-Abyan, Aden-Abyan Islamic Army; Islamic Great Eastern Raiders-Front, IBDA-C; Islamic Group of Uzbekistan, IMU, Islamic Party of Turkestan; Jaish-i-Mohammed, Jaish-e-Muhammad, JEM, Army of Muhammad; Jamaat ul-Fuqra, Fuqra, Tanzimul Fuqra; Japanese Red Army, JRA, Anti-Imperialist International Brigade; Jayshullah; Jemaah Islamiyah, JI, Islamic Group, Islamic Community, Malaysian Mujahidin Group, Malaysia Militant Group; Jerusalem Warriors; Jund-ul-Islam, Soldiers of God; Kahane Chai, Kach; Kaplan Group, Association of Islamic Groups and Communities, Caliphate State; Khmer Rouge, KR, Party of Democratic Kampuchea, Communist Party of Kampuchea; Ku Klux Klan, Klan, KKK; Kurdistan Workers Party, Kurdistan Labor Pary, Partiya Karkeran Kurdistan, PPK; Lashkar-e-Jhangvi; Lashkar-e-Omar, Al Qanoon; Lashkar-e-Taiba, Lashkar-e-Toiba, Lashkar-e-Tayyiba, LET, Army of the Pure, Army of the Righteous; Laskar Jihad, Holy War Warriors; Lautaro Youth Movement, Lautaro Faction of the United Popular Action Movement, Lautaro Popular Rebel Forces; Liberation Tigers of Tamil Eelam, LTTE, Tamil Tigers, Tigers, World Tamil Association, World Tamil Movement; Libyan Islamic Fighting Group, FIG, Al-Jama'a al-Islamiyyah al-Muqatilah bi-Libya, Libyan Fighting Group, Libyan Islamic Group; Lord's Resistance Army; Loyalist Volunteer Force; Maktab al-Khidmat, MAK; Manuel Rodriquez Patriotic Front; Moranzanist Patriotic Front; Moro Islamic Liberation Front; Mujahedeen Kompak; Mujahidin-e Khalq Organization, MKO, MEK, People's Mujahidin of Iran; National Liberation Army, ELN, Nestor Paz Zamora Commission, CNPZ; National Liberation Army, ELN; National Liberation Front of Corsica, FLNC; New People's Army, NPA; Orange Group, OV; Palestine Islamic Jihad, Palestinian Islamic Jihad, PIJ, Harakat al-Jihad al-Islami al-Filastini; Palestine Liberation Front, PLF, Jabat al-Tahrir al-Filistiniyyah; Palestinian Hizballah; Pentagon Gang; Popular Front for the Liberation of Palestine, PFLP; Popular Front for the Liberation of Palestine-General Command, PFLP-GC; Popular Struggle Front, PSF; 15 May Organization; People against Gangsterism and Drugs, PAGAD; Puka Inti, Sol Rojo, Red Sun; Qassam Brigades, Salah al-Din Battalions, Iz Al-Din Al-Qassam Battalions; Qibla; Real IRA, Real Irish Republican Army, RIRA, Dissident Irish Republican Army; Red Army Faction, RAF; Red Brigades, Brigate Rosse, BR; Red Hand Defenders, RHD; Revolutionary Armed Forces of Colombia, Fuerzas Armadas Revolucionarios de Colombia, FARC; Revolutionary Organization 17 November, 17 November; Revolutionary People's Liberation Party, Revolutionary People's Liberation Front; Revolutionary People's Struggle, ELA; Revolutionary Proletarian Nucleus, Revolutionary Proletarian Initiative Nuclei, NIPR; Revolutionary United Front, RUF; Salafist Group, Salafast Group for Call and Combat, GSPC; Shining Path, Sendero Luminoso, SL; Sipah-e-Sahaba; Tareekh e Kasas, Movement for Revenge; Tupac Amaru Revolutionary Movement, Movimiento Revolucionario Tupac Anaru, MRTA; Tupac Katari Guerrilla Army, EGTK; Turkish Hizballah; Ulster Defence Association, UDA; United Self-Defense Force of Colombia, United Self-Defense Group of Colombia, Autodefensas Unidas de Colombia, AUC"
omw-en31-01340556-n,i42385,n,omw-en31-01340224-n,enterovirus,ентеровірус,ентеровірус,ентеровірус,enterovirus,"будь-яка з групи пікорнавірусів, які заражають шлунково-кишковий тракт і можуть поширюватися на інші області (особливо нервову систему)",any of a group of picornaviruses that infect the gastrointestinal tract and can spread to other areas (especially the nervous system),picornavirus,"poliovirus; hepatitis A virus; coxsackievirus, Coxsackie virus; echovirus"
omw-en31-07614305-n,i76726,n,omw-en31-07612936-n,hard candy,цукерки,hard candy,тверді цукерки,hard candy,крихкі цукерки,candy that is brittle,"candy, confect","barley-sugar, barley candy; jawbreaker; lemon drop; sourball"
omw-en31-08559644-n,i81872,n,omw-en31-08559404-n,climatic zone,кліматична зона,кліматична зона,кліматичний пояс,climatic zone,"будь-яка з географічних зон, нерівно розділених відповідно до переважаючого клімату та широти",any of the geographical zones loosely divided according to prevailing climate and latitude,"zone, geographical zone","Frigid Zone, polar zone, polar region; Temperate Zone; Torrid Zone, tropical zone, tropics; subtropics, semitropics"
omw-en31-08590805-n,i82039,n,omw-en31-08559404-n,Frigid Zone,Холодна зона,Фригідна зона,Холодна зона,"Frigid Zone, polar zone, polar region","частина земної поверхні, що утворює шапку над полюсом",the part of the Earth's surface forming a cap over a pole; characterized by frigid climate,climatic zone,"Antarctic, Antarctic Zone, South Frigid Zone; Arctic, Arctic Zone, North Frigid Zone"
omw-en31-08118903-n,i79781,n,omw-en31-08119368-n,lineage,родовід,родовід,походження,"lineage, line, line of descent, descent, bloodline, blood line, blood, pedigree, ancestry, origin, parentage, stemma, stock",нащадки однієї особини,the descendants of one individual,"genealogy, family tree","family, family line, folk, kinfolk, kinsfolk, sept, phratry; side"
omw-en31-07987168-n,i79200,n,omw-en31-08119368-n,family,сім'я,сім'я,сім'я,"family, family line, folk, kinfolk, kinsfolk, sept, phratry",люди походять від спільного предка,people descended from a common ancestor,"lineage, line, line of descent, descent, bloodline, blood line, blood, pedigree, ancestry, origin, parentage, stemma, stock","people; homefolk; house; dynasty; name, gens"
omw-en31-07987896-n,i79204,n,omw-en31-08119368-n,house,будинок,будинок,Будинок,house,аристократична родинна лінія,aristocratic family line,"family, family line, folk, kinfolk, kinsfolk, sept, phratry","royalty, royal family, royal line, royal house; Medici"
omw-en31-08170336-n,i80001,n,omw-en31-08119368-n,royalty,роялті,королівська влада,nan,"royalty, royal family, royal line, royal house",аристократична родинна лінія,royal persons collectively,house,"Hanover, House of Hanover, Hanoverian line; Habsburg, Hapsburg; Hohenzollern; Lancaster, House of Lancaster, Lancastrian line; Plantagenet, Plantagenet line; Romanov, Romanoff; Saxe-Coburg-Gotha; Stuart; York, House of York"
omw-en31-03938946-n,i57251,n,omw-en31-03314753-n,piece of cloth,шматок тканини,шматок тканини,"шматок тканини, шматок матеріалу","piece of cloth, piece of material","окрема частина, що складається з тканини",a separate part consisting of fabric,"piece; fabric, cloth, material, textile","bib; chamois cloth; dishrag, dishcloth; drop cloth; dustcloth, dustrag, duster; dust cover, dust sheet; end, remainder, remnant, oddment; gore, panel; groundsheet, ground cloth; guimpe; gusset, inset; handkerchief, hankie, hanky, hankey; liner, lining; lungi, lungyi, longyi; patch; placket; rag, shred, tag, tag end, tatter; sail, canvas, canvass, sheet; swatch; towel; train"
omw-en31-10695315-n,i93442,n,omw-en31-10538195-n,superior,верхній,настоятель,"начальник, настоятель",superior,голова релігійної громади,the head of a religious community,religious,"abbess, mother superior, prioress; abbot, archimandrite; prior"
omw-en31-02663647-n,i49723,n,omw-en31-02659998-n,lefteye flounder,камбала лівобережна,Камбала лівоока,"лівоока камбала, ліва камбала, ліве око камбала","lefteye flounder, lefteyed flounder",камбали з обома очима на лівій стороні голови,flatfishes with both eyes on the left side of the head,flatfish,"southern flounder, Paralichthys lethostigmus; summer flounder, Paralichthys dentatus; grey flounder, gray flounder, Etropus rimosus; whiff; sand dab; windowpane, Scophthalmus aquosus; brill, Scophthalmus rhombus; turbot, Psetta maxima"
omw-en31-09824229-n,i88279,n,omw-en31-09815764-n,archeologist,археолог,археолог,Археолог,"archeologist, archaeologist","антрополог, який вивчає доісторичних людей та їх культуру",an anthropologist who studies prehistoric people and their culture,anthropologist,"Egyptologist; paleographer, paleographist; pothunter; Evans, Arthur Evans, Sir Arthur John Evans; Schliemann, Heinrich Schliemann; Thompson, Homer Thompson, Homer A. Thompson, Homer Armstrong Thompson; Wheeler, Sir Mortimer Wheeler, Sir Robert Eric Mortimer Wheeler; Winckelmann, Johann Winckelmann, Johann Joachim Winckelmann; Woolley, Sir Leonard Woolley, Sir Charles Leonard Woolley"
omw-en31-10067630-n,i89701,n,omw-en31-09815764-n,Egyptologist,Єгиптолог,Єгиптолог,Єгиптолог,Egyptologist,"археолог, який спеціалізується на єгиптології",an archeologist who specializes in Egyptology,"archeologist, archaeologist","Carter, Howard Carter; Champollion, Jean Francois Champollion; Young, Thomas Young"
omw-en31-02925268-n,i51270,n,omw-en31-03459977-n,burial chamber,поховальна камера,поховальна камера,"гробниця, гроб, похоронна камера","burial chamber, sepulcher, sepulchre, sepulture","камера, яка використовується як могила",a chamber that is used as a grave,"grave, tomb; chamber","crypt; Holy Sepulcher, Holy Sepulchre; mausoleum; repository, monument; vault, burial vault"
omw-en31-04040471-n,i57847,n,omw-en31-02823345-n,quilt,ковдра,ковдра,"ковдра, комфорт, пуф","quilt, comforter, comfort, puff","підстилка з двох шарів тканини, наповнена начинкою і зшита разом",bedding made of two layers of cloth filled with stuffing and stitched together,"bedclothes, bed clothing, bedding","eiderdown, duvet, continental quilt; patchwork, patchwork quilt"
omw-en31-14918632-n,i115351,n,omw-en31-14918291-n,natural resin,натуральна смола,натуральна смола,Натуральна смола,natural resin,ексудат рослини,a plant exudate,"resin, rosin; plant product","sandarac, sandarach; guaiacum; storax; scammony; acaroid resin, accaroid resin, accroides, accroides resin, accroides gum, gum accroides; anime, gum anime; asafetida, asafoetida; camphor; cannabin, cannabis resin; amber; copal; dammar, gum dammar, damar, dammar resin; colophony; mastic; oleoresin; gum resin; wood tar"
omw-en31-14920592-n,i115362,n,omw-en31-14918291-n,oleoresin,живиця,живиця,олеорезин,oleoresin,природна суміш смоли та ефірної олії,a naturally occurring mixture of a resin and an essential oil; obtained from certain plants,natural resin,"labdanum, ladanum; balsam; Canada balsam; turpentine, gum terpentine; copaiba, copaiba balsam, balsam capivi; labdanum, gum labdanum; oleoresin capiscum"
